180 findings in intellicrack\handlers\pefile_handler.py

intellicrack\handlers\pefile_handler.py:37: unused variable 'RESOURCE' (60% confidence, 1 line)
intellicrack\handlers\pefile_handler.py:108: unused variable 'IMAGE_FILE_MACHINE_TRICORE' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:109: unused variable 'IMAGE_FILE_MACHINE_CEF' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:110: unused variable 'IMAGE_FILE_MACHINE_EBC' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:111: unused variable 'IMAGE_FILE_MACHINE_AMD64' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:112: unused variable 'IMAGE_FILE_MACHINE_M32R' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:113: unused variable 'IMAGE_FILE_MACHINE_ARM64' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:114: unused variable 'IMAGE_FILE_MACHINE_CEE' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:120: unused variable 'IMAGE_SUBSYSTEM_UNKNOWN' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:122: unused variable 'IMAGE_SUBSYSTEM_WINDOWS_GUI' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:123: unused variable 'IMAGE_SUBSYSTEM_WINDOWS_CUI' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:124: unused variable 'IMAGE_SUBSYSTEM_OS2_CUI' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:125: unused variable 'IMAGE_SUBSYSTEM_POSIX_CUI' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:126: unused variable 'IMAGE_SUBSYSTEM_WINDOWS_CE_GUI' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:127: unused variable 'IMAGE_SUBSYSTEM_EFI_APPLICATION' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:128: unused variable 'IMAGE_SUBSYSTEM_EFI_BOOT_SERVICE_DRIVER' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:129: unused variable 'IMAGE_SUBSYSTEM_EFI_RUNTIME_DRIVER' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:130: unused variable 'IMAGE_SUBSYSTEM_EFI_ROM' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:131: unused variable 'IMAGE_SUBSYSTEM_XBOX' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:132: unused variable 'IMAGE_SUBSYSTEM_WINDOWS_BOOT_APPLICATION' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:138: unused variable 'IMAGE_FILE_RELOCS_STRIPPED' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:140: unused variable 'IMAGE_FILE_LINE_NUMS_STRIPPED' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:141: unused variable 'IMAGE_FILE_LOCAL_SYMS_STRIPPED' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:142: unused variable 'IMAGE_FILE_AGGRESIVE_WS_TRIM' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:143: unused variable 'IMAGE_FILE_LARGE_ADDRESS_AWARE' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:144: unused variable 'IMAGE_FILE_BYTES_REVERSED_LO' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:145: unused variable 'IMAGE_FILE_32BIT_MACHINE' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:146: unused variable 'IMAGE_FILE_DEBUG_STRIPPED' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:147: unused variable 'IMAGE_FILE_REMOVABLE_RUN_FROM_SWAP' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:148: unused variable 'IMAGE_FILE_NET_RUN_FROM_SWAP' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:149: unused variable 'IMAGE_FILE_SYSTEM' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:151: unused variable 'IMAGE_FILE_UP_SYSTEM_ONLY' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:152: unused variable 'IMAGE_FILE_BYTES_REVERSED_HI' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:158: unused variable 'IMAGE_DEBUG_TYPE_UNKNOWN' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:159: unused variable 'IMAGE_DEBUG_TYPE_COFF' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:160: unused variable 'IMAGE_DEBUG_TYPE_CODEVIEW' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:161: unused variable 'IMAGE_DEBUG_TYPE_FPO' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:162: unused variable 'IMAGE_DEBUG_TYPE_MISC' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:163: unused variable 'IMAGE_DEBUG_TYPE_EXCEPTION' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:164: unused variable 'IMAGE_DEBUG_TYPE_FIXUP' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:165: unused variable 'IMAGE_DEBUG_TYPE_OMAP_TO_SRC' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:166: unused variable 'IMAGE_DEBUG_TYPE_OMAP_FROM_SRC' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:167: unused variable 'IMAGE_DEBUG_TYPE_BORLAND' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:168: unused variable 'IMAGE_DEBUG_TYPE_RESERVED10' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:169: unused variable 'IMAGE_DEBUG_TYPE_CLSID' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:175: unused variable 'RT_CURSOR' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:176: unused variable 'RT_BITMAP' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:178: unused variable 'RT_MENU' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:179: unused variable 'RT_DIALOG' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:180: unused variable 'RT_STRING' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:181: unused variable 'RT_FONTDIR' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:182: unused variable 'RT_FONT' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:183: unused variable 'RT_ACCELERATOR' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:184: unused variable 'RT_RCDATA' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:185: unused variable 'RT_MESSAGETABLE' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:186: unused variable 'RT_GROUP_CURSOR' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:188: unused variable 'RT_VERSION' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:189: unused variable 'RT_DLGINCLUDE' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:190: unused variable 'RT_PLUGPLAY' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:191: unused variable 'RT_VXD' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:192: unused variable 'RT_ANICURSOR' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:193: unused variable 'RT_ANIICON' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:194: unused variable 'RT_HTML' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:195: unused variable 'RT_MANIFEST' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:250: unused attribute 'PointerToSymbolTable' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:251: unused attribute 'NumberOfSymbols' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:266: unused attribute 'SizeOfUninitializedData' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:268: unused attribute 'BaseOfCode' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:269: unused attribute 'BaseOfData' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:273: unused attribute 'MajorOperatingSystemVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:274: unused attribute 'MinorOperatingSystemVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:275: unused attribute 'MajorImageVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:276: unused attribute 'MinorImageVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:277: unused attribute 'MajorSubsystemVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:278: unused attribute 'MinorSubsystemVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:279: unused attribute 'Reserved1' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:285: unused attribute 'SizeOfStackReserve' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:286: unused attribute 'SizeOfStackCommit' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:287: unused attribute 'SizeOfHeapReserve' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:288: unused attribute 'SizeOfHeapCommit' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:289: unused attribute 'LoaderFlags' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:304: unused attribute 'PointerToRelocations' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:305: unused attribute 'PointerToLinenumbers' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:306: unused attribute 'NumberOfRelocations' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:307: unused attribute 'NumberOfLinenumbers' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:329: unused attribute 'ForwarderChain' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:354: unused attribute 'MajorVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:355: unused attribute 'MinorVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:396: unused attribute 'DIRECTORY_ENTRY_BOUND_IMPORT' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:469: unused attribute 'PointerToSymbolTable' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:470: unused attribute 'NumberOfSymbols' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:494: unused attribute 'SizeOfUninitializedData' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:496: unused attribute 'BaseOfCode' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:497: unused attribute 'BaseOfData' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:501: unused attribute 'MajorOperatingSystemVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:502: unused attribute 'MinorOperatingSystemVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:503: unused attribute 'MajorImageVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:504: unused attribute 'MinorImageVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:505: unused attribute 'MajorSubsystemVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:506: unused attribute 'MinorSubsystemVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:507: unused attribute 'Reserved1' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:513: unused attribute 'SizeOfStackReserve' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:514: unused attribute 'SizeOfStackCommit' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:515: unused attribute 'SizeOfHeapReserve' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:516: unused attribute 'SizeOfHeapCommit' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:517: unused attribute 'LoaderFlags' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:551: unused attribute 'SizeOfUninitializedData' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:553: unused attribute 'BaseOfCode' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:557: unused attribute 'MajorOperatingSystemVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:558: unused attribute 'MinorOperatingSystemVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:559: unused attribute 'MajorImageVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:560: unused attribute 'MinorImageVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:561: unused attribute 'MajorSubsystemVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:562: unused attribute 'MinorSubsystemVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:563: unused attribute 'Reserved1' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:569: unused attribute 'SizeOfStackReserve' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:570: unused attribute 'SizeOfStackCommit' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:571: unused attribute 'SizeOfHeapReserve' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:572: unused attribute 'SizeOfHeapCommit' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:573: unused attribute 'LoaderFlags' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:610: unused attribute 'PointerToRelocations' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:611: unused attribute 'PointerToLinenumbers' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:612: unused attribute 'NumberOfRelocations' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:613: unused attribute 'NumberOfLinenumbers' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:651: unused attribute 'ForwarderChain' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:735: unused attribute 'MajorVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:736: unused attribute 'MinorVersion' (60% confidence, 1 line)

intellicrack\handlers\pefile_handler.py:992: unused method 'is_driver' (60% confidence, 10 lines)

intellicrack\handlers\pefile_handler.py:926: unused method 'get_rich_header_hash' (60% confidence, 17 lines)


179 findings in intellicrack\core\protection_bypass\tpm_bypass.py

intellicrack\core\protection_bypass\tpm_bypass.py:73: unused variable 'SHA384' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:74: unused variable 'SHA512' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:75: unused variable 'NULL' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:76: unused variable 'SM3_256' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:77: unused variable 'SM4' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:79: unused variable 'RSAES' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:80: unused variable 'RSAPSS' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:83: unused variable 'ECDH' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:84: unused variable 'ECDAA' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:85: unused variable 'SM2' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:86: unused variable 'ECSCHNORR' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:87: unused variable 'ECMQV' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:88: unused variable 'KDF1_SP800_56A' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:89: unused variable 'KDF2' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:90: unused variable 'KDF1_SP800_108' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:92: unused variable 'SYMCIPHER' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:93: unused variable 'CAMELLIA' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:95: unused variable 'OFB' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:97: unused variable 'CFB' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:104: unused variable 'NV_UndefineSpace' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:105: unused variable 'HierarchyChangeAuth' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:106: unused variable 'NV_UndefineSpaceSpecial' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:107: unused variable 'EvictControl' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:108: unused variable 'HierarchyControl' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:109: unused variable 'NV_SetBits' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:111: unused variable 'ClearControl' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:112: unused variable 'ClockSet' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:113: unused variable 'NV_DefineSpace' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:114: unused variable 'PCR_Allocate' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:115: unused variable 'PCR_SetAuthPolicy' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:116: unused variable 'PP_Commands' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:117: unused variable 'SetPrimaryPolicy' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:118: unused variable 'FieldUpgradeStart' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:119: unused variable 'ClockRateAdjust' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:121: unused variable 'NV_GlobalWriteLock' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:122: unused variable 'GetCommandAuditDigest' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:123: unused variable 'NV_Increment' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:124: unused variable 'NV_Extend' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:125: unused variable 'NV_Write' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:126: unused variable 'NV_WriteLock' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:128: unused variable 'DictionaryAttackParameters' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:129: unused variable 'NV_ChangeAuth' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:130: unused variable 'PCR_Event' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:131: unused variable 'PCR_Reset' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:132: unused variable 'SequenceComplete' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:133: unused variable 'SetAlgorithmSet' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:134: unused variable 'SetCommandCodeAuditStatus' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:135: unused variable 'FieldUpgradeData' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:138: unused variable 'Startup' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:139: unused variable 'Shutdown' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:140: unused variable 'StirRandom' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:141: unused variable 'ActivateCredential' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:142: unused variable 'Certify' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:143: unused variable 'PolicyNV' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:144: unused variable 'CertifyCreation' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:145: unused variable 'Duplicate' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:146: unused variable 'GetTime' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:147: unused variable 'GetSessionAuditDigest' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:149: unused variable 'NV_ReadLock' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:150: unused variable 'ObjectChangeAuth' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:151: unused variable 'PolicySecret' (60% confidence, 1 line)

intellicrack\core\protection_bypass\tpm_bypass.py:152: unused variable 'Rewrap' (60% confidence, 1 line)

